#vertex distance parent
1378 17.8957 486
1379 17.4212 486
1380 17.8957 486
1381 17.8957 486
1382 21.0083 578
1383 24.8858 722
1384 24.871 117
1385 -1 -1
1386 -1 -1
1387 -1 -1
1388 27.3249 659
1389 19.4417 1390
1390 16.9124 1063
1391 17.6706 1392
1392 15.0623 1515
1393 20.6756 1391
1394 23.0233 1395
1395 19.718 2287
1396 20.1758 721
1397 20.9975 1133
1398 10.8893 51
1399 26.9816 913
1400 22.7931 804
1401 22.6726 298
1402 22.8467 298
1403 18.9891 205
1404 18.5175 205
1405 18.691 205
1406 18.5175 205
1407 18.9891 205
1408 18.9891 205
1409 18.9891 205
1410 28.9699 1411
1411 25.6646 1966
1412 -1 -1
1413 -1 -1
1414 -1 -1
1415 21.6615 576
1416 18.3252 1418
1417 20.1863 2225
1418 15.9711 2139
1419 17.5424 789
1420 17.8028 789
1421 18.1018 789
1422 -1 -1
1423 -1 -1
1424 26.9958 157
1425 11.4868 51
1426 26.3855 1427
1427 23.3016 1822
1428 22.9597 1429
1429 19.9548 966
1430 20.6865 351
1431 19.4428 1432
1432 17.0727 1866
1433 19.4247 1434
1434 16.2441 1190
1435 19.2813 929
1436 -1 -1
1437 20.7971 224
1438 16.6522 126
1439 18.7301 929
1440 20.9596 1439
1441 20.9596 1439
1442 -1 -1
1443 20.9238 1444
1444 17.6185 980
1445 22.993 1299
1446 12.9783 1448
1447 16.159 1446
1448 10.6701 1815
1449 8.36234 523
1450 10.4459 783
1451 10.7673 1449
1452 -1 -1
1453 19.3172 570
1454 22.3936 1455
1455 19.3097 979
1456 19.9777 929
1457 22.4066 592
1458 17.4394 184
1459 16.6957 675
1460 12.3333 639
1461 15.0381 1460
1462 15.2136 1460
1463 -1 -1
1464 -1 -1
1465 -1 -1
1466 22.2416 1467
1467 19.3612 1098
1468 25.0253 1466
1469 -1 -1
1470 -1 -1
1471 18.4037 170
1472 19.1455 61
1473 13.2395 2073
1474 18.2258 183
1475 23.0429 1108
1476 25.8198 159
1477 9.34952 1082
1478 12.817 138
1479 13.1164 138
1480 15.3291 1488
1481 -1 -1
1482 21.1737 100
1483 21.3708 1709
1484 21.5171 1370
1485 21.0083 578
1486 8.55356 1136
1487 13.4163 138
1488 12.7209 138
1489 23.9058 780
1490 13.5253 190
1491 -1 -1
1492 -1 -1
1493 18.273 444
1494 21.2992 532
1495 20.9728 933
1496 23.9778 1495
1497 -1 -1
